ID,First Name,Last Name,DOB,Gender,Email,Career,Graduation Year,Sport,Club Affiliation
115-05-4644,Mordecai,COLLCUTT,17/02/1997,Male,mcollcutt@uni.edu,Engineering,2022,,
113-06-6910,Nicko,BOALER,09/01/1996,Male,nboaler@uni.edu,Litterature & Linguistics,2022,,
115-02-1610,Meir,HYATT,02/03/1996,Male,mhyatt@uni.edu,Mathematics,2023,Gymnastics,
116-06-9243,Wang,GAMAGE,23/07/1997,Male,wgamage@uni.edu,Biotechnology,2023,Track & Field,
115-05-2829,Dolores,IVANONKO,22/02/1997,Female,divanonko@uni.edu,Physics,2024,Volleyball,Tau Picore
111-02-1774,Giulietta,PENDERGRAST,10/11/1997,Female,gpendergrast@uni.edu,Art & Culture,2023,Track & Field,
116-08-9136,Gavrielle,FULHAM,01/10/1998,Male,gfulham@uni.edu,Engineering,2022,,
114-07-6376,Amelita,TUMBRIDGE,13/07/1996,Female,atumbridge@uni.edu,Physics,2022,Cheerleading,
113-06-3534,Kearney,OST,29/11/1998,Male,kost@uni.edu,Mathematics,2022,,
111-07-4312,Tessie,TOPLIS,03/10/1996,Male,ttoplis@uni.edu,Biotechnology,2024,Basketball,
118-01-5945,Marysa,DUMPHRY,14/10/1998,Male,mdumphry@uni.edu,Physics,2024,Martial Arts,
112-05-5118,Oren,ANDRYUSHCHENKO,19/02/1996,Male,oandryushchenko@uni.edu,Computer Science,2022,,
115-07-2509,Licha,SUGGATE,23/02/1996,Female,lsuggate@uni.edu,Art & Culture,2022,Cheerleading,
116-03-1159,Eberto,OLIVELLI,12/10/1997,Female,eolivelli@uni.edu,Business Administration,2023,Swimming,
116-03-6763,Carma,SWANNICK,29/04/1996,Male,cswannick@uni.edu,Medicine,2022,,
112-07-2098,Basil,PFIFFER,03/06/1998,Male,bpfiffer@uni.edu,IT,2022,Martial Arts,
114-08-2306,Mag,GIRARDETTI,26/01/1997,Female,mgirardetti@uni.edu,Art & Culture,2022,,
113-06-2153,Edsel,BELVARD,29/03/1996,Male,ebelvard@uni.edu,Biotechnology,2022,Martial Arts,
114-08-7279,Malinda,LOVEROCK,08/08/1997,Female,mloverock@uni.edu,Psychology,2024,,
117-03-5798,Evaleen,APFELMANN,06/12/1996,Male,eapfelmann@uni.edu,Psychology,2023,,
119-01-1835,Ferdinand,THACKRAY,13/07/1997,Female,fthackray@uni.edu,Tourism & Catering,2022,,
118-08-3913,Shaw,SHAPLAND,19/08/1998,Female,sshapland@uni.edu,Art & Culture,2022,,
113-02-3434,Corette,STRAUSS,11/10/1997,Female,cstrauss@uni.edu,Art & Culture,2022,,
119-09-6853,Peder,TSCHIERASCHE,07/07/1998,Male,ptschierasche@uni.edu,Litterature & Linguistics,2022,Track & Field,
117-02-2006,Cletis,PURDIE,26/07/1996,Male,cpurdie@uni.edu,Architecture,2023,,
116-09-1125,Germaine,PATTINSON,23/10/1997,Male,gpattinson@uni.edu,Engineering,2024,,
113-09-9623,Prue,BRACCO,07/03/1997,Male,pbracco@uni.edu,Tourism & Catering,2024,Basketball,
116-06-9300,Netty,MCCARRICK,18/09/1998,Female,nmccarrick@uni.edu,Psychology,2022,Martial Arts,
112-01-7004,Yehudit,JAKSIC,17/10/1998,Male,yjaksic@uni.edu,Computer Science,2024,Basketball,
117-04-1167,Tann,POULSOM,04/11/1997,Female,tpoulsom@uni.edu,Journalism,2022,,
114-01-6545,Krystal,BUCKIE,01/05/1997,Female,kbuckie@uni.edu,History,2023,,
112-02-4813,Byrom,BRADEN,14/03/1997,Female,bbraden@uni.edu,Agronomy,2022,Rowing,
114-01-8764,Emery,ANTONOV,28/04/1998,Male,eantonov@uni.edu,Architecture,2022,,
116-06-4908,Ronna,LIPPIELLO,13/11/1998,Male,rlippiello@uni.edu,Finance,2022,,
111-07-1440,Chloette,BREMOND,29/11/1997,Female,cbremond@uni.edu,Business Administration,2023,,
112-07-3927,Davidson,PEASCOD,21/09/1997,Female,dpeascod@uni.edu,Biotechnology,2023,,
113-01-3010,Inness,SCHONFELDER,01/03/1996,Female,ischonfelder@uni.edu,Mathematics,2024,,
112-04-5412,Jeremiah,CAMPA,02/01/1996,Male,jcampa@uni.edu,Business Administration,2023,,
111-01-2921,Janos,MAWSON,06/03/1998,Female,jmawson@uni.edu,Law,2024,,
113-05-2760,Jared,GUDGE,25/11/1998,Male,jgudge@uni.edu,Physics,2023,,
117-02-8638,Craig,GRASTYE,08/07/1997,Female,cgrastye@uni.edu,Engineering,2023,Volleyball,
112-02-9881,Nicola,ALISON,12/02/1998,Male,nalison@uni.edu,Litterature & Linguistics,2023,,
118-05-6548,Eirena,CHILDRENS,19/12/1996,Polygender,echildrens@uni.edu,Art & Culture,2024,,
116-02-6563,Willie,PINE,02/12/1997,Male,wpine@uni.edu,Mathematics,2024,Football,
116-02-3363,Davidson,GOTCLIFF,05/07/1997,Female,dgotcliff@uni.edu,Law,2022,,
119-04-1612,Dehlia,HALLBORD,11/07/1998,Female,dhallbord@uni.edu,Tourism & Catering,2022,,
119-04-4389,Rockwell,BISKUPEK,25/12/1997,Male,rbiskupek@uni.edu,Mathematics,2022,,
119-04-9142,Winifred,HUNTON,01/10/1997,Female,whunton@uni.edu,IT,2022,,
111-07-2426,Dot,SALADINO,06/12/1998,Female,dsaladino@uni.edu,IT,2022,,
113-08-3172,Letta,CAMBRIDGE,02/07/1996,Male,lcambridge@uni.edu,Biotechnology,2022,,
117-04-9969,Sheree,HENNER,14/01/1998,Female,shenner@uni.edu,Tourism & Catering,2023,Swimming,
115-07-8168,Charis,TAVENER,09/05/1997,Female,ctavener@uni.edu,Gastronomy,2022,,Tau Picore
114-01-9161,Merridie,BRICKHILL,01/07/1997,Genderfluid,mbrickhill@uni.edu,Gastronomy,2023,,
113-03-5052,Cicily,DUNCKLEY,18/04/1998,Agender,cdunckley@uni.edu,Architecture,2022,,
117-08-8865,Filberto,ROSKRUG,16/06/1996,Male,froskrug@uni.edu,Gastronomy,2024,Basketball,
112-03-8624,Willem,LONG,06/02/1996,Female,wlong@uni.edu,History,2024,,
111-05-2071,Othella,SUTLIFF,22/04/1996,Male,osutliff@uni.edu,Computer Science,2024,,
111-04-3899,Ofilia,MACCOLM,17/06/1996,Female,omaccolm@uni.edu,Business Administration,2022,,
117-07-2215,Maurene,BLACKHURST,13/05/1996,Female,mblackhurst@uni.edu,Physics,2024,Cheerleading,
118-07-1316,Barron,CANSDALE,14/06/1996,Female,bcansdale@uni.edu,Tourism & Catering,2022,,
116-03-3818,Salem,SWAINSTON,19/11/1998,Male,sswainston@uni.edu,History,2024,,
111-01-9206,Xenia,SNEDEN,25/03/1998,Female,xsneden@uni.edu,Finance,2024,Rowing,
115-06-4293,Thurstan,SEARCHWELL,30/08/1998,Male,tsearchwell@uni.edu,Litterature & Linguistics,2022,,
116-08-2109,Schuyler,LOVEL,22/10/1998,Male,slovel@uni.edu,Litterature & Linguistics,2022,,
119-01-3230,Brittaney,GOMERSAL,03/02/1998,Genderfluid,bgomersal@uni.edu,Business Administration,2024,,
115-09-7185,Noami,BARKWORTH,28/10/1997,Male,nbarkworth@uni.edu,Law,2023,Soccer,
111-05-8234,Lynnet,DELLA,25/12/1997,Female,ldella@uni.edu,Engineering,2024,Swimming,
118-02-7236,Nalani,DRI,09/04/1997,Genderfluid,ndri@uni.edu,Computer Science,2022,Cheerleading,
111-01-9025,Lanie,FRIEDMAN,22/01/1996,Male,lfriedman@uni.edu,IT,2024,,
116-02-3425,Pauly,MACRORY,07/04/1996,Male,pmacrory@uni.edu,History,2022,,Beta Mu
113-01-1388,Genia,BRAUNES,21/03/1997,Male,gbraunes@uni.edu,Computer Science,2023,Rowing,
116-06-9435,Jackie,GUDDE,03/04/1996,Female,jgudde@uni.edu,Medicine,2023,,Beta Mu
111-07-5911,Jeanne,DRAISEY,10/03/1996,Male,jdraisey@uni.edu,Psychology,2022,,
111-07-8338,Melvyn,MERCK,07/11/1997,Polygender,mmerck@uni.edu,Architecture,2023,,
119-01-1757,Selig,D'OYLEY,07/05/1998,Male,sdoyley@uni.edu,IT,2023,Football,
118-06-1964,Ronald,DUNSTALL,12/01/1996,Male,rdunstall@uni.edu,Finance,2024,Gymnastics,
117-06-4368,King,COPSEY,08/04/1996,Male,kcopsey@uni.edu,Biotechnology,2023,Rowing,
112-02-5671,Paolina,VAZ,03/05/1996,Female,pvaz@uni.edu,Tourism & Catering,2024,,
118-01-3008,Darryl,CARRIER,07/04/1998,Female,dcarrier@uni.edu,IT,2024,Soccer,
114-02-4425,Ado,SCHOLEY,22/02/1996,Male,ascholey@uni.edu,Journalism,2024,Football,
113-03-2014,Hoyt,MAEER,30/04/1998,Male,hmaeer@uni.edu,Agronomy,2022,,
119-02-1124,Jacklin,BARTI,22/02/1998,Female,jbarti@uni.edu,Finance,2024,,
113-01-4161,Oliy,WHITTINGTON,16/04/1998,Female,owhittington@uni.edu,Finance,2022,Hockey,
114-01-9082,Truman,HAMERTON,29/01/1997,Male,thamerton@uni.edu,Physics,2024,Soccer,
116-09-3942,Stephine,SLAMAKER,11/10/1997,Male,sslamaker@uni.edu,IT,2023,Martial Arts,
118-07-1667,Ephrem,ELOI,16/08/1996,Male,eeloi@uni.edu,Mathematics,2024,Martial Arts,
112-08-2254,Bambie,BRAISTED,18/12/1997,Female,bbraisted@uni.edu,Business Administration,2022,,
113-02-1376,Eben,CAPELING,20/10/1998,Female,ecapeling@uni.edu,Finance,2022,,
118-01-1129,Grete,PHETTEPLACE,29/10/1996,Male,gphetteplace@uni.edu,Mathematics,2023,Soccer,Zeta Omega
114-07-1805,Aurlie,ROSEWELL,18/02/1998,Genderqueer,arosewell@uni.edu,Art & Culture,2023,,
111-03-7525,Demott,YANCEY,01/08/1996,Female,dyancey@uni.edu,Psychology,2024,,
112-07-6931,Conant,MCMAINS,17/02/1996,Male,cmcmains@uni.edu,Mathematics,2024,,
112-05-2201,Lynnell,HINRICH,04/02/1998,Female,lhinrich@uni.edu,Architecture,2022,,
118-07-2194,Leeland,DUDDAN,18/08/1998,Male,lduddan@uni.edu,Gastronomy,2024,Basketball,Nu Phi Lambda
117-03-9312,Timothea,BOXELL,31/08/1996,Male,tboxell@uni.edu,Computer Science,2022,Football,
118-06-5783,Martyn,ENTWISTLE,16/10/1997,Female,mentwistle@uni.edu,Business Administration,2022,,
114-05-3400,Elita,CLIFF,14/05/1997,Male,ecliff@uni.edu,Mathematics,2023,,
111-08-2391,Claybourne,BERR,08/07/1998,Male,cberr@uni.edu,Mathematics,2023,,
114-03-2905,Harlie,BLEDDON,15/10/1996,Male,hbleddon@uni.edu,Architecture,2024,Soccer,
115-05-5432,Barbaraanne,FERRELLI,19/10/1996,Female,bferrelli@uni.edu,Tourism & Catering,2024,,
112-08-4582,Zaria,TYTCOMB,10/10/1997,Male,ztytcomb@uni.edu,Medicine,2023,,
117-03-6831,Gigi,VEDENICHEV,01/12/1998,Male,gvedenichev@uni.edu,Biotechnology,2023,,
118-07-3651,Kinna,TRAYHORN,04/04/1996,Male,ktrayhorn@uni.edu,IT,2023,Martial Arts,
118-05-4077,Zeb,CASERI,04/03/1997,Female,zcaseri@uni.edu,Biotechnology,2024,,
111-03-8989,Berry,HARGITT,26/04/1996,Male,bhargitt@uni.edu,Finance,2022,Tennis,
112-05-6991,Mara,KELCEY,24/04/1996,Female,mkelcey@uni.edu,History,2024,,
111-08-9125,Vivianne,ELSIP,11/10/1997,Female,velsip@uni.edu,IT,2024,Volleyball,
118-05-5822,Wildon,CROWNE,28/03/1998,Female,wcrowne@uni.edu,History,2022,Volleyball,
113-01-8853,Carissa,ANTOINET,28/06/1997,Male,cantoinet@uni.edu,Gastronomy,2024,,
112-02-3419,Abelard,HUBBOLD,05/02/1998,Male,ahubbold@uni.edu,Gastronomy,2024,,
116-03-3395,Garv,SMETHURST,09/06/1997,Male,gsmethurst@uni.edu,Psychology,2023,,
116-09-9820,Oates,PAFFOT,24/05/1997,Male,opaffot@uni.edu,Biotechnology,2023,Basketball,
114-04-7004,Ammamaria,O'CORRIN,12/05/1998,Female,aocorrin@uni.edu,Business Administration,2023,,
119-07-6738,Myrta,NOWACZYK,20/09/1996,Female,mnowaczyk@uni.edu,Finance,2022,,
111-06-7637,Lauri,JAFFREY,07/03/1997,Female,ljaffrey@uni.edu,Chemistry,2022,,
114-05-5246,Winona,PUES,22/03/1998,Male,wpues@uni.edu,Medicine,2022,,
117-03-7694,Odo,CROSTHWAITE,23/01/1997,Genderqueer,ocrosthwaite@uni.edu,Agronomy,2023,Football,Zeta Omega
111-02-1562,Clark,KEIGHLY,02/10/1996,Male,ckeighly@uni.edu,Mathematics,2024,,
117-05-3572,Mag,VAN SCHAFFLAER,13/06/1998,Female,mvanschafflaer@uni.edu,IT,2024,,
114-02-1515,Gates,DUNY,21/10/1996,Male,gduny@uni.edu,Agronomy,2022,Basketball,
116-06-3815,May,LABELL,05/02/1996,Female,mlabell@uni.edu,Journalism,2022,,
117-06-2491,Delaney,CANNAVAN,31/03/1996,Female,dcannavan@uni.edu,Gastronomy,2022,,Kappa Xi
114-01-4748,Sibylle,BAUDAIN,20/08/1996,Female,sbaudain@uni.edu,Physics,2022,Gymnastics,
115-08-4026,Gearalt,LAST,19/09/1998,Male,glast@uni.edu,Business Administration,2023,,Pi Gamma Rho
114-02-8174,Roy,WAIND,20/07/1996,Agender,rwaind@uni.edu,Architecture,2023,,
115-08-1119,Archaimbaud,GIACOBILIO,17/04/1996,Female,agiacobilio@uni.edu,Chemistry,2022,Volleyball,
117-07-4819,Beverlie,PINCHBACK,22/10/1998,Male,bpinchback@uni.edu,IT,2022,Rowing,
112-09-3784,Trstram,TOSELAND,16/05/1997,Male,ttoseland@uni.edu,Art & Culture,2023,,
119-04-2912,Wendy,DADGE,07/07/1996,Female,wdadge@uni.edu,Art & Culture,2023,Hockey,
118-09-3709,Sosanna,ABELSON,14/06/1996,Male,sabelson@uni.edu,Physics,2024,Martial Arts,
112-08-8775,Smith,PODS,11/06/1997,Agender,spods@uni.edu,Journalism,2022,,
111-01-3448,Gerard,KORFMANN,08/09/1996,Male,gkorfmann@uni.edu,Gastronomy,2022,Football,
115-09-6703,Anders,YASHUNIN,17/05/1998,Male,ayashunin@uni.edu,Biotechnology,2024,Football,
119-08-9838,Eddie,MARIOT,19/11/1998,Female,emariot@uni.edu,Architecture,2024,Track & Field,
116-06-4976,Jammal,CASTELLO,16/05/1998,Genderqueer,jcastello@uni.edu,Psychology,2022,,
118-06-3436,Myrlene,GRITSAEV,24/06/1996,Male,mgritsaev@uni.edu,Business Administration,2022,Tennis,
111-02-3350,Faith,NURCOMBE,20/12/1996,Male,fnurcombe@uni.edu,Mathematics,2023,,
112-07-9689,Elset,LANPHIER,18/06/1998,Male,elanphier@uni.edu,Physics,2023,,
118-05-8887,Verina,PRIN,29/08/1997,Male,vprin@uni.edu,History,2024,,
119-09-5639,Erv,MAVIN,11/10/1997,Male,emavin@uni.edu,IT,2024,Hockey,
116-04-4409,Cherida,FRANZETTI,07/12/1997,Male,cfranzetti@uni.edu,Tourism & Catering,2023,Martial Arts,Pi Gamma Rho
112-09-1447,Sybyl,CORNHILL,29/05/1998,Female,scornhill@uni.edu,Mathematics,2022,Tennis,
113-07-2673,Ally,BOCKMANN,06/10/1998,Female,abockmann@uni.edu,Mathematics,2022,Hockey,
111-08-5610,Olivia,AMBROSONI,17/05/1997,Female,oambrosoni@uni.edu,Computer Science,2023,,
112-01-4502,Nickolai,TRUMP,31/03/1996,Female,ntrump@uni.edu,Business Administration,2023,Hockey,
115-06-7176,Byran,OLYET,14/04/1997,Male,bolyet@uni.edu,Computer Science,2024,,
114-01-5197,Gabie,HANSMANN,18/03/1996,Non-binary,ghansmann@uni.edu,Tourism & Catering,2024,Cheerleading,
115-07-9797,Otho,TRAVIS,23/02/1996,Female,otravis@uni.edu,Chemistry,2023,Cheerleading,
114-07-5246,Corrie,WILLIAMSON,17/04/1997,Female,cwilliamson@uni.edu,History,2024,,
113-09-3012,Dayle,BERNTH,17/12/1996,Female,dbernth@uni.edu,Litterature & Linguistics,2024,Swimming,
117-04-2720,Yvor,PENKE,28/04/1996,Female,ypenke@uni.edu,Business Administration,2022,,
113-08-4203,Hedwiga,TORETTA,12/06/1998,Female,htoretta@uni.edu,Journalism,2022,,
116-06-2161,Ileana,KILLOCK,06/05/1998,Female,ikillock@uni.edu,Art & Culture,2024,,
117-08-4168,Roxane,HELLWIG,17/08/1997,Male,rhellwig@uni.edu,Medicine,2022,,Tau Picore
114-04-6107,Bernard,DROGHAN,28/06/1996,Female,bdroghan@uni.edu,Architecture,2023,Tennis,
118-04-1897,Lorianne,JANATKA,23/06/1998,Male,ljanatka@uni.edu,Finance,2024,Basketball,
116-05-6270,Celina,PUNCHER,03/11/1998,Female,cpuncher@uni.edu,Finance,2023,,
114-02-2767,Aleece,VICKARMAN,03/06/1996,Genderfluid,avickarman@uni.edu,Art & Culture,2022,,
111-04-6915,Giustina,WASKETT,26/06/1997,Male,gwaskett@uni.edu,Tourism & Catering,2024,,
118-01-7543,Everard,ROELS,04/10/1997,Female,eroels@uni.edu,Psychology,2022,Tennis,
116-02-8062,Verge,SCROXTON,21/10/1998,Female,vscroxton@uni.edu,Agronomy,2023,Gymnastics,
112-03-9187,Halsy,GOALEY,24/07/1998,Male,hgoaley@uni.edu,Agronomy,2024,,
112-08-1279,Shanon,OUBRIDGE,03/10/1997,Male,soubridge@uni.edu,Litterature & Linguistics,2023,,
113-09-3724,Jeana,BLANCH,14/08/1997,Female,jblanch@uni.edu,Physics,2022,,
118-07-6098,Ephrem,LYNSKEY,29/07/1998,Female,elynskey@uni.edu,Business Administration,2022,Cheerleading,
115-07-8824,Marwin,FETHERSTAN,27/01/1996,Male,mfetherstan@uni.edu,Medicine,2022,Tennis,
114-01-9612,Merill,KILVINGTON,13/12/1996,Female,mkilvington@uni.edu,Physics,2024,,
116-08-7340,Nora,REVENING,10/03/1996,Female,nrevening@uni.edu,Architecture,2022,,
117-05-2578,Kandace,TERSAY,08/04/1997,Female,ktersay@uni.edu,Medicine,2023,,
112-09-7624,Maury,POLLEYE,08/11/1997,Male,mpolleye@uni.edu,Finance,2022,,
117-03-4789,Briny,SHELMARDINE,10/05/1997,Female,bshelmardine@uni.edu,Business Administration,2023,,
113-06-7792,Sydelle,JOSCELIN,25/04/1998,Male,sjoscelin@uni.edu,Biotechnology,2022,,
115-01-6910,Rupert,ZIEBART,17/01/1998,Female,rziebart@uni.edu,Mathematics,2024,,
119-09-2424,Mychal,GLISENAN,07/03/1997,Male,mglisenan@uni.edu,Business Administration,2022,,
118-06-7778,Bernadette,VARSEY,05/08/1998,Female,bvarsey@uni.edu,Medicine,2023,,
116-06-4486,Doy,LYGO,26/07/1997,Genderfluid,dlygo@uni.edu,IT,2024,,
115-04-5873,Marcelo,AARONSON,01/09/1996,Female,maaronson@uni.edu,Litterature & Linguistics,2023,,
116-05-3240,Vivian,LYFORD,09/06/1997,Female,vlyford@uni.edu,History,2023,,
118-03-8710,Reinaldo,RECORDS,11/04/1997,Female,rrecords@uni.edu,Biotechnology,2022,Volleyball,
116-02-2701,Elenore,WYSOME,03/03/1998,Male,ewysome@uni.edu,Tourism & Catering,2024,Football,Pi Gamma Rho
115-03-3874,Phillida,KNOCKER,03/12/1996,Male,pknocker@uni.edu,Architecture,2024,Football,
115-04-9272,Cherry,CRITOPH,22/07/1998,Male,ccritoph@uni.edu,Law,2023,Rowing,
118-08-7512,Ulrike,GEILL,12/01/1998,Agender,ugeill@uni.edu,Agronomy,2022,Football,
113-06-6449,Whittaker,KIPLING,22/02/1997,Female,wkipling@uni.edu,History,2023,Track & Field,
112-05-4945,Bonni,GAYNSFORD,07/12/1996,Genderqueer,bgaynsford@uni.edu,Law,2023,Gymnastics,Zeta Omega
117-04-8090,Mikael,GOLDSTER,06/11/1998,Male,mgoldster@uni.edu,Law,2024,,
117-09-3057,Darbee,HERTWELL,05/04/1997,Female,dhertwell@uni.edu,Physics,2024,Swimming,
113-09-7976,Rosanna,HAIRE,16/11/1996,Female,rhaire@uni.edu,Tourism & Catering,2022,,
116-06-7558,Loren,PETYANKIN,02/01/1998,Male,lpetyankin@uni.edu,Physics,2022,,
113-01-4823,Bordie,GRIBBON,02/02/1996,Male,bgribbon@uni.edu,Finance,2022,,
113-09-2075,Shelba,BUREL,09/11/1996,Polygender,sburel@uni.edu,Physics,2024,,
111-05-2561,Beatrix,HEWINS,21/12/1996,Male,bhewins@uni.edu,IT,2023,Gymnastics,
118-06-4870,Damien,BLANCE,17/01/1997,Female,dblance@uni.edu,Architecture,2023,,
115-04-5136,Willi,LEIMSTER,17/07/1998,Female,wleimster@uni.edu,Architecture,2022,,
115-04-3643,Emylee,VANEEV,31/03/1997,Male,evaneev@uni.edu,Finance,2022,,
111-02-7134,Karee,GEERDTS,20/09/1998,Male,kgeerdts@uni.edu,Law,2023,,
119-06-1495,Cristy,EYTON,14/01/1997,Male,ceyton@uni.edu,Architecture,2024,Football,
114-03-2182,Bernhard,HANNANT,09/08/1998,Female,bhannant@uni.edu,Law,2024,,
119-07-6801,Port,DUNKINSON,27/06/1998,Female,pdunkinson@uni.edu,Art & Culture,2022,Gymnastics,
116-05-3499,Doria,EGARR,04/08/1996,Female,degarr@uni.edu,Psychology,2023,,
117-02-9568,Myrtle,FARRYANN,25/08/1998,Female,mfarryann@uni.edu,Mathematics,2022,Gymnastics,Beta Mu
119-06-2582,Cirilo,MUINO,19/07/1996,Female,cmuino@uni.edu,Finance,2023,,
111-01-1431,Jessalin,RAMLOT,19/02/1997,Bigender,jramlot@uni.edu,Tourism & Catering,2023,,
111-01-3835,Tedd,LUGSDIN,28/10/1997,Female,tlugsdin@uni.edu,Chemistry,2023,Soccer,Beta Mu
