id,first_name,last_name,email,gender,date_of_birth,study,ganghood,sport,graduation_year
116-1998,Steffane,BARTLEY,sbartley@uni.edu,Polygender,21/07/1997,Engineering,,,2022
119-9965,Tarrah,MULVANEY,tmulvaney@uni.edu,Female,01/10/1997,Computer Science,,,2022
117-7433,Roosevelt,JENT,rjent@uni.edu,Male,19/05/1998,Psychology,,Basketball,2022
118-8303,Marie-ann,LEVECQUE,mlevecque@uni.edu,Agender,03/01/1997,Litterature & Linguistics,,Volleyball,2022
118-5269,Rosalyn,DETHERIDGE,rdetheridge@uni.edu,Female,04/03/1997,Journalism,,,2023
113-5063,Sig,PETERFFY,speterffy@uni.edu,Female,17/07/1997,Architecture,,Martial Arts,2024
112-3192,Jared,STEALY,jstealy@uni.edu,Male,16/01/1997,Finance,,,2022
119-7185,Dennie,CODDINGTON,dcoddington@uni.edu,Female,28/08/1997,Architecture,,,2024
117-5803,Tawsha,NIBLOCK,tniblock@uni.edu,Male,05/09/1998,Psychology,Nu Phi Lambda,Football,2023
116-4367,Shaylynn,SAILE,ssaile@uni.edu,Male,20/10/1996,Art & Culture,,Basketball,2023
113-4083,Imogen,PHILIPPAULT,iphilippault@uni.edu,Male,18/05/1998,Physics,,,2023
111-6648,Pren,GAVRIELI,pgavrieli@uni.edu,Female,02/09/1998,Agronomy,,Gymnastics,2023
118-1974,Karita,SAGER,ksager@uni.edu,Female,29/09/1996,Medicine,,Cheerleading,2022
116-9311,Alene,WILBY,awilby@uni.edu,Female,15/01/1996,Medicine,,,2022
114-1397,Edgardo,CHAIM,echaim@uni.edu,Female,21/09/1996,Computer Science,Kappa Xi,,2022
113-8779,Birch,WILCOCKE,bwilcocke@uni.edu,Female,26/05/1996,Computer Science,,,2024
118-2207,Hillery,RAISE,hraise@uni.edu,Male,27/03/1997,Art & Culture,,Soccer,2024
115-1897,Trumann,BELHAM,tbelham@uni.edu,Female,12/03/1996,Physics,,,2023
117-9240,Melessa,FURZEY,mfurzey@uni.edu,Male,06/12/1997,Finance,Tau Picore,Hockey,2023
114-4723,Terrie,YAKUBOV,tyakubov@uni.edu,Genderfluid,07/06/1996,Journalism,,Rowing,2024
114-8255,Durant,TYREMAN,dtyreman@uni.edu,Agender,05/06/1997,Gastronomy,,,2023
117-4547,Lu,OATS,loats@uni.edu,Male,27/10/1996,Tourism & Catering,,Swimming,2024
117-2340,Somerset,HALSON,shalson@uni.edu,Female,13/03/1996,Chemistry,,,2022
116-1177,Elga,GIACOBONI,egiacoboni@uni.edu,Female,24/08/1996,Journalism,,Swimming,2023
116-5927,Hanan,DE DANTESIE,hdedantesie@uni.edu,Female,15/07/1996,Tourism & Catering,,,2023
113-2402,Archy,BECKS,abecks@uni.edu,Male,19/01/1998,Computer Science,,Football,2024
114-3368,Wyndham,HODGIN,whodgin@uni.edu,Female,02/09/1998,Gastronomy,,Tennis,2023
116-9522,Darin,FLEEMAN,dfleeman@uni.edu,Genderqueer,06/08/1996,Finance,Pi Gamma Rho,,2022
111-3521,Crystie,IANIELLO,cianiello@uni.edu,Male,11/04/1997,Agronomy,,,2024
113-9641,Bax,KUNDERT,bkundert@uni.edu,Male,27/07/1997,Chemistry,,Football,2023
118-2422,Robina,FALCK,rfalck@uni.edu,Male,16/11/1998,IT,,Martial Arts,2024
117-5276,Ashleigh,BOSHARD,aboshard@uni.edu,Female,27/01/1998,Mathematics,,Tennis,2022
119-3951,Dina,MATUSIAK,dmatusiak@uni.edu,Male,16/09/1998,Litterature & Linguistics,,,2024
115-8817,Ellerey,ADISCOT,eadiscot@uni.edu,Female,26/09/1997,Finance,,,2023
119-1475,Gav,BRISBANE,gbrisbane@uni.edu,Female,24/10/1997,Litterature & Linguistics,,Volleyball,2022
119-6539,Panchito,IVSHIN,pivshin@uni.edu,Female,06/10/1996,Finance,,Volleyball,2022
111-3685,Blanch,MCCALUM,bmccalum@uni.edu,Male,20/03/1998,Computer Science,,Martial Arts,2024
118-4609,Ali,LORKIN,alorkin@uni.edu,Female,23/05/1997,History,,Gymnastics,2023
119-6350,Mehetabel,WICKEY,mwickey@uni.edu,Female,27/02/1996,Journalism,,,2023
115-1925,Ree,CLEMENZI,rclemenzi@uni.edu,Female,24/01/1998,Art & Culture,,,2024
119-8514,Terrijo,SPADAZZI,tspadazzi@uni.edu,Female,08/06/1998,History,,Rowing,2023
119-4647,Felicle,RUDYARD,frudyard@uni.edu,Male,17/02/1996,Business Administration,,,2022
115-8899,Glynn,HABLOT,ghablot@uni.edu,Female,16/08/1997,Mathematics,,,2024
117-9542,Giulietta,CARLOZZI,gcarlozzi@uni.edu,Female,11/02/1998,Architecture,,,2024
117-9268,Eolande,BRANNIGAN,ebrannigan@uni.edu,Male,07/10/1997,IT,,Basketball,2022
119-1680,Prisca,GLIGORI,pgligori@uni.edu,Male,08/03/1998,Biotechnology,,,2024
117-1814,Ekaterina,BOWSER,ebowser@uni.edu,Male,06/10/1996,Finance,,Basketball,2022
116-3426,Gertrude,ABBAY,gabbay@uni.edu,Genderqueer,29/10/1998,Agronomy,,,2024
113-2305,Andree,MICHEU,amicheu@uni.edu,Polygender,10/10/1998,Journalism,,Cheerleading,2023
112-4934,Brennan,BIAGIONI,bbiagioni@uni.edu,Female,09/06/1998,Law,,Swimming,2022
117-3857,Daniela,CALVEY,dcalvey@uni.edu,Male,23/05/1998,Architecture,Beta Mu,,2022
115-1040,Stearne,KINCAID,skincaid@uni.edu,Female,20/02/1996,Gastronomy,Nu Phi Lambda,,2023
114-3392,Horten,O'FAIRY,hofairy@uni.edu,Male,25/02/1997,IT,,Martial Arts,2023
115-6030,Verge,DELAGUA,vdelagua@uni.edu,Female,15/04/1997,Computer Science,,,2023
113-3132,Agna,TOLCHARD,atolchard@uni.edu,Male,04/10/1996,Gastronomy,,Tennis,2022
114-2467,Sunny,MALKINSON,smalkinson@uni.edu,Female,19/09/1998,Architecture,,Soccer,2023
116-7096,Gonzalo,STILLMANN,gstillmann@uni.edu,Male,02/01/1997,Computer Science,,Swimming,2023
114-8765,Sean,CORNELY,scornely@uni.edu,Male,21/12/1997,Psychology,,Basketball,2022
116-1194,Chiarra,PARMAN,cparman@uni.edu,Male,24/07/1996,Biotechnology,Tau Picore,,2022
119-9958,Alika,HASWELL,ahaswell@uni.edu,Female,01/06/1997,Engineering,,,2023
113-5867,Kristan,MCMILLAM,kmcmillam@uni.edu,Non-binary,26/02/1996,Agronomy,,,2023
111-7077,Dorian,MOBBS,dmobbs@uni.edu,Male,15/09/1997,Law,,Track & Field,2023
117-6184,Marchall,CAUDELL,mcaudell@uni.edu,Genderfluid,12/02/1997,Medicine,,,2022
114-7237,Merrill,SCULLION,mscullion@uni.edu,Female,09/03/1996,Psychology,,,2022
116-8808,Peder,CROSSFELD,pcrossfeld@uni.edu,Female,14/05/1998,IT,Nu Phi Lambda,,2023
115-1997,Alice,SOLLEME,asolleme@uni.edu,Female,19/08/1997,Medicine,,Cheerleading,2024
115-5089,Jerad,DUNKLEY,jdunkley@uni.edu,Male,18/09/1998,Biotechnology,,Football,2022
112-8724,Becky,CARE,bcare@uni.edu,Male,01/10/1997,Business Administration,,,2022
111-5270,Sig,BRASSEUR,sbrasseur@uni.edu,Female,18/03/1997,Business Administration,,Hockey,2024
115-7633,Oliver,GITTOSE,ogittose@uni.edu,Male,04/05/1997,IT,,,2023
117-9077,Merrie,CHIVERSTONE,mchiverstone@uni.edu,Male,29/11/1997,Tourism & Catering,,,2023
114-5731,Emlen,KLIEMENT,ekliement@uni.edu,Male,21/10/1997,IT,,,2023
119-2727,Raymond,MATE,rmate@uni.edu,Male,03/08/1998,IT,,Basketball,2022
115-3583,Xavier,HEFFORDE,xhefforde@uni.edu,Male,08/10/1996,Law,,,2024
113-4127,Chelsie,TROTTER,ctrotter@uni.edu,Male,08/09/1997,Tourism & Catering,,Tennis,2024
116-2918,Evy,OWAIN,eowain@uni.edu,Female,03/10/1997,Law,,,2024
119-8396,Guillema,BEHRENS,gbehrens@uni.edu,Female,30/01/1998,Art & Culture,Kappa Xi,,2022
115-1651,Tito,MACKEGG,tmackegg@uni.edu,Female,01/06/1996,Mathematics,,Gymnastics,2022
111-2293,Corrianne,WATERHOWSE,cwaterhowse@uni.edu,Male,03/08/1998,Computer Science,,Soccer,2022
111-1299,Dew,DRYDALE,ddrydale@uni.edu,Male,06/02/1997,Biotechnology,,Hockey,2022
119-9339,Arlyn,MONTEITH,amonteith@uni.edu,Female,08/03/1998,Business Administration,,Basketball,2023
119-5568,Zechariah,STAVES,zstaves@uni.edu,Male,07/10/1998,Law,,Basketball,2024
117-5523,Janey,NURDIN,jnurdin@uni.edu,Female,08/02/1998,Engineering,,,2022
116-8131,Eben,WAINSCOAT,ewainscoat@uni.edu,Male,15/04/1996,Agronomy,,,2023
114-6867,Sid,BLODGETT,sblodgett@uni.edu,Male,07/09/1997,Medicine,,Rowing,2024
117-7407,Arel,DECREUZE,adecreuze@uni.edu,Male,06/11/1998,Computer Science,,,2023
113-5625,Walt,CORNEHL,wcornehl@uni.edu,Male,03/02/1997,Engineering,Delta Magnus,,2023
118-6689,Daisey,ADLINGTON,dadlington@uni.edu,Male,08/04/1998,Business Administration,,Rowing,2022
115-7865,Jens,BATER,jbater@uni.edu,Male,05/06/1997,Business Administration,,Football,2023
116-5894,Daile,DONKERSLEY,ddonkersley@uni.edu,Male,08/03/1996,Law,,Martial Arts,2022
117-7218,Eliza,COSGRIFF,ecosgriff@uni.edu,Female,14/12/1997,Law,,,2022
112-9009,Lombard,RANSCOMB,lranscomb@uni.edu,Male,11/07/1996,Journalism,,,2024
116-4115,Derick,KAASMANN,dkaasmann@uni.edu,Male,22/08/1996,Architecture,,,2024
116-5866,Pauly,AVIS,pavis@uni.edu,Female,15/05/1997,Biotechnology,,,2024
117-2769,Martainn,CICULLO,mcicullo@uni.edu,Male,10/01/1998,Gastronomy,,,2022
119-7899,Fawnia,PEARSALL,fpearsall@uni.edu,Male,01/07/1996,Law,,Tennis,2024
115-7707,Griswold,BAMPFIELD,gbampfield@uni.edu,Non-binary,22/03/1997,Gastronomy,,,2024
112-3764,Augustin,LINCH,alinch@uni.edu,Male,03/09/1997,Journalism,,Soccer,2024
117-3845,Gabrielle,NORBURY,gnorbury@uni.edu,Female,14/02/1996,Art & Culture,Kappa Xi,Volleyball,2023
119-9909,Rosabella,LOCKHURST,rlockhurst@uni.edu,Male,25/08/1996,Art & Culture,,Football,2022
117-9031,Hilly,COLLOPY,hcollopy@uni.edu,Male,19/08/1996,Biotechnology,Tau Picore,,2022
119-9274,Adel,BENOY,abenoy@uni.edu,Female,17/11/1998,Physics,,Gymnastics,2022
115-7990,Heloise,DICKERSON,hdickerson@uni.edu,Female,02/03/1998,Computer Science,,,2022
116-6893,Woodman,WINTOUR,wwintour@uni.edu,Female,08/10/1997,History,,Soccer,2023
114-9611,Ericka,COSKERRY,ecoskerry@uni.edu,Female,16/04/1997,Medicine,,Cheerleading,2022
118-2716,Harlan,SLACK,hslack@uni.edu,Male,19/03/1996,IT,,,2024
112-5881,Leontyne,CARVERHILL,lcarverhill@uni.edu,Male,17/08/1998,Mathematics,,,2022
115-6639,Sonja,RANKIN,srankin@uni.edu,Male,12/12/1996,Medicine,,Swimming,2023
118-6483,Tremaine,CLAYPOLE,tclaypole@uni.edu,Male,18/04/1997,IT,,Hockey,2024
116-2210,Anna,MALTMAN,amaltman@uni.edu,Male,26/04/1998,Architecture,,,2023
111-7466,Pinchas,CALDECOTT,pcaldecott@uni.edu,Female,04/05/1997,Psychology,,Tennis,2024
113-6633,Ferdinand,LIBERMORE,flibermore@uni.edu,Male,12/11/1996,History,,,2022
116-5015,Orazio,SEBASTIAN,osebastian@uni.edu,Male,23/06/1996,Medicine,Nu Phi Lambda,Rowing,2023
113-2910,Georgi,BOTTEN,gbotten@uni.edu,Genderqueer,28/08/1996,Engineering,Beta Mu,Cheerleading,2024
118-4140,Pearla,ZIMA,pzima@uni.edu,Polygender,09/04/1996,Biotechnology,Zeta Omega,,2022
111-6531,Burk,VAN DEN BOSCH,bvandenbosch@uni.edu,Male,26/02/1997,Finance,,,2024
114-1764,Gilly,LACELETT,glacelett@uni.edu,Female,10/09/1996,Law,Tau Picore,,2023
116-6079,Giordano,PETTEGREE,gpettegree@uni.edu,Female,21/09/1996,Journalism,,,2022
112-2938,Florenza,MCBRIER,fmcbrier@uni.edu,Female,25/07/1996,Biotechnology,,Hockey,2024
116-7018,Moreen,MCWILLIAM,mmcwilliam@uni.edu,Female,17/09/1998,Engineering,,Gymnastics,2024
117-5384,Berkie,ARON,baron@uni.edu,Female,06/10/1998,Litterature & Linguistics,,,2023
114-9891,Cathie,MECHELL,cmechell@uni.edu,Female,18/03/1998,Medicine,,,2022
118-8965,Florence,YEELES,fyeeles@uni.edu,Male,10/07/1996,Biotechnology,,,2024
118-2785,Kimberley,TRAYS,ktrays@uni.edu,Female,31/10/1996,Medicine,,Swimming,2022
114-3986,Vernor,POCHIN,vpochin@uni.edu,Female,25/09/1997,Psychology,,,2024
117-4325,Emmit,SZYMON,eszymon@uni.edu,Male,10/07/1997,Law,,Tennis,2024
116-4883,Brigid,PAU,bpau@uni.edu,Female,02/01/1998,History,,,2022
118-1482,Joachim,WOOLLACOTT,jwoollacott@uni.edu,Male,04/07/1997,Business Administration,,,2023
115-8137,Daisy,ROUGHLEY,droughley@uni.edu,Female,26/06/1998,Litterature & Linguistics,,,2023
114-9728,Nikaniki,OWBRICK,nowbrick@uni.edu,Female,10/05/1996,Mathematics,,,2022
119-9461,Larisa,SYMS,lsyms@uni.edu,Female,25/05/1998,Law,,,2024
116-7406,Johannes,ETOILE,jetoile@uni.edu,Female,06/01/1998,Gastronomy,,Hockey,2023
119-7883,Trudy,THANDI,tthandi@uni.edu,Female,01/05/1997,Psychology,,Basketball,2023
116-5086,Christal,BLACKMOOR,cblackmoor@uni.edu,Female,18/07/1996,Mathematics,,,2023
111-7250,Nathaniel,ESSAME,nessame@uni.edu,Male,22/08/1997,Psychology,,Gymnastics,2022
111-8054,Ransell,GILBERT,rgilbert@uni.edu,Male,27/09/1996,Medicine,,,2024
115-2344,Berton,MORIN,bmorin@uni.edu,Female,24/05/1997,Finance,,Martial Arts,2024
111-2318,Ina,BANBRICK,ibanbrick@uni.edu,Female,15/10/1996,Mathematics,,,2022
114-4561,Alanna,FEARNEHOUGH,afearnehough@uni.edu,Male,11/02/1997,Business Administration,,Football,2023
115-8483,Korie,HADDLETON,khaddleton@uni.edu,Male,09/03/1996,Medicine,,Soccer,2023
115-8566,Zora,WOOLLER,zwooller@uni.edu,Male,06/03/1996,Gastronomy,,Basketball,2022
117-3667,Jamal,MADRELL,jmadrell@uni.edu,Female,03/02/1997,History,,,2022
119-3272,Kitty,HEK,khek@uni.edu,Male,20/01/1996,Litterature & Linguistics,,Basketball,2024
111-4897,Marcelia,ROTHERT,mrothert@uni.edu,Female,29/07/1998,History,,Hockey,2024
119-7137,Yolanda,OLIVIER,yolivier@uni.edu,Male,11/05/1996,Litterature & Linguistics,,,2024
119-2641,Alexis,MCCRAW,amccraw@uni.edu,Agender,17/02/1998,IT,,,2024
114-7159,Dorothy,GUMME,dgumme@uni.edu,Genderfluid,19/10/1997,History,,,2024
114-4832,Nariko,PADBERY,npadbery@uni.edu,Male,16/09/1998,Journalism,,,2024
118-6602,Kelcey,BURKMAN,kburkman@uni.edu,Male,27/09/1998,Psychology,,,2023
115-1168,Suzanne,MACEVELEY,smaceveley@uni.edu,Male,08/05/1998,Mathematics,,,2022
112-2859,Lew,TUDGAY,ltudgay@uni.edu,Female,02/05/1998,Gastronomy,,,2022
113-3275,Adlai,OSININ,aosinin@uni.edu,Male,12/09/1997,IT,,Soccer,2022
118-8955,Dallas,WALLSAM,dwallsam@uni.edu,Male,31/07/1996,Art & Culture,,Football,2022
117-6665,Viviana,CHARTE,vcharte@uni.edu,Male,08/01/1996,Litterature & Linguistics,,,2022
115-4837,Andriette,MCCLUSKEY,amccluskey@uni.edu,Male,01/11/1997,Law,,Volleyball,2023
111-4360,Eldon,GATHWAITE,egathwaite@uni.edu,Male,19/12/1996,Law,,Volleyball,2024
114-4108,Anna-maria,LASSEN,alassen@uni.edu,Male,24/01/1998,Law,Kappa Xi,,2024
118-8721,Brenn,BRAHM,bbrahm@uni.edu,Female,22/05/1998,Medicine,,Basketball,2022
114-4604,Fidelity,RISSO,frisso@uni.edu,Male,29/05/1997,IT,,Track & Field,2024
111-9256,Dagny,WALDRAM,dwaldram@uni.edu,Genderfluid,10/05/1997,Biotechnology,,Cheerleading,2023
116-4468,Mahalia,HAMFLETT,mhamflett@uni.edu,Agender,12/09/1996,Agronomy,,,2023
111-6873,Rocky,KENNINGTON,rkennington@uni.edu,Female,17/10/1997,Medicine,,Cheerleading,2022
113-1351,Reidar,MISSINGTON,rmissington@uni.edu,Non-binary,27/04/1996,Biotechnology,,Tennis,2022
111-7113,Maegan,EUPLATE,meuplate@uni.edu,Male,16/10/1996,Biotechnology,,,2024
119-4070,Calv,CHAMP,cchamp@uni.edu,Male,28/07/1996,Engineering,,Basketball,2023
117-4156,Phylys,DANIGEL,pdanigel@uni.edu,Female,31/08/1997,History,,,2022
114-3972,Aubrey,SOMMERLY,asommerly@uni.edu,Male,09/03/1996,Physics,,,2022
112-3693,Edgard,PECKITT,epeckitt@uni.edu,Female,26/06/1997,Psychology,,,2023
115-2736,Barbabas,BRADER,bbrader@uni.edu,Female,18/11/1996,Journalism,,Swimming,2023
115-2644,Titos,DEWEN,tdewen@uni.edu,Female,23/08/1997,Gastronomy,Tau Picore,,2023
112-5259,Dianna,OLLER,doller@uni.edu,Female,31/03/1996,Tourism & Catering,,,2023
114-6935,Shannon,CAREFULL,scarefull@uni.edu,Female,24/03/1998,Biotechnology,Nu Phi Lambda,,2024
111-4971,Annalise,CAMMELL,acammell@uni.edu,Female,17/07/1998,Litterature & Linguistics,,Cheerleading,2022
114-9839,Petronille,BIER,pbier@uni.edu,Male,30/09/1998,History,Delta Magnus,,2022
112-1935,Dido,INGREY,dingrey@uni.edu,Male,01/01/1998,Chemistry,,,2023
115-5042,Cos,BUCKERFIELD,cbuckerfield@uni.edu,Male,24/12/1998,IT,,,2023
117-2040,Aliza,HAGGITH,ahaggith@uni.edu,Male,08/09/1996,Business Administration,,,2024
117-2701,Isis,SNIBSON,isnibson@uni.edu,Male,27/01/1997,Finance,,Basketball,2024
112-8669,Aimil,BENEZEIT,abenezeit@uni.edu,Male,08/10/1998,Biotechnology,,,2023
115-1551,Tiffany,LAMPERT,tlampert@uni.edu,Male,26/06/1996,Litterature & Linguistics,,Soccer,2024
118-5095,Michale,ELLARD,mellard@uni.edu,Male,21/05/1998,IT,,,2023
111-8628,Thorstein,JEANON,tjeanon@uni.edu,Male,08/03/1997,IT,,Tennis,2024
117-3196,Marguerite,IVANOV,mivanov@uni.edu,Male,18/10/1998,Mathematics,Zeta Omega,,2023
119-5847,Hebert,KEDWELL,hkedwell@uni.edu,Female,30/03/1998,Tourism & Catering,,,2024
119-9441,Ive,PLUMLEY,iplumley@uni.edu,Female,16/04/1996,Computer Science,,,2024
118-3927,Duffie,COLLMAN,dcollman@uni.edu,Female,27/02/1996,Psychology,Nu Phi Lambda,Volleyball,2024
119-7568,Rosaleen,OLLERHEAD,rollerhead@uni.edu,Agender,05/07/1997,IT,,Martial Arts,2023
119-5351,Loralee,SLAINEY,lslainey@uni.edu,Male,14/02/1998,Computer Science,,Basketball,2024
115-2022,Andonis,WARDESWORTH,awardesworth@uni.edu,Female,03/01/1997,Art & Culture,,,2024
119-1806,Orazio,JOZEFIAK,ojozefiak@uni.edu,Female,02/12/1997,Engineering,,Gymnastics,2024
117-7779,Trista,JORDI,tjordi@uni.edu,Male,29/07/1998,Biotechnology,,,2022
114-6625,Maurise,GORINI,mgorini@uni.edu,Female,29/03/1997,Chemistry,,,2024
118-9150,Windham,MONCUR,wmoncur@uni.edu,Agender,11/04/1997,Architecture,,,2022
113-6291,Aldrich,BRIGDEN,abrigden@uni.edu,Male,08/02/1998,Psychology,,Hockey,2022
118-5549,Rita,TUTT,rtutt@uni.edu,Male,06/04/1997,Law,,,2022
118-8573,Rowe,TOHILL,rtohill@uni.edu,Male,25/12/1998,History,,Hockey,2022
117-5542,Livvy,BLAZDELL,lblazdell@uni.edu,Bigender,10/05/1998,Architecture,,,2024
111-1611,Chlo,CUMESKY,ccumesky@uni.edu,Male,15/04/1997,Mathematics,,,2022
119-1586,Quent,BOGART,qbogart@uni.edu,Male,11/12/1997,Business Administration,,Football,2023
119-1338,Brett,OLYUNIN,bolyunin@uni.edu,Female,15/10/1998,Art & Culture,,,2024
115-9150,Atlante,ALEKSANDROV,aaleksandrov@uni.edu,Male,25/02/1997,Law,,,2023
115-4892,Lorraine,DODDS,ldodds@uni.edu,Male,09/06/1996,Law,,Rowing,2023
112-6562,Cyrille,RIDGLEY,cridgley@uni.edu,Female,06/10/1997,Biotechnology,,,2024
111-6187,Daryl,RAMBAUT,drambaut@uni.edu,Male,26/12/1998,Agronomy,,,2023
118-4737,Lettie,AYNSCOMBE,laynscombe@uni.edu,Male,05/09/1998,Psychology,,Football,2024
115-4622,Lindsay,SPERRING,lsperring@uni.edu,Male,14/09/1996,Litterature & Linguistics,,,2022
114-1786,Cherie,CHESSON,cchesson@uni.edu,Female,07/04/1996,Art & Culture,,,2022
114-8294,Wyndham,FIPPE,wfippe@uni.edu,Male,27/07/1996,History,,,2022
119-3601,Cati,LANFER,clanfer@uni.edu,Genderfluid,18/03/1998,Business Administration,,Track & Field,2024
