id,first_name,last_name,email,gender,date_of_birth,careeer,house,sport
112-ee-6989,Benetta,RIPPON,brippon@uni.edu,Male,20/12/1996,Mathematics,Pi Gamma Rho,Swimming
111-df-4846,Tades,PLEVIN,tplevin@uni.edu,Female,01/12/1998,IT,,Martial Arts
112-bf-3620,Eileen,MINSTER,eminster@uni.edu,Male,27/11/1996,Computer Science,Delta Magnus,
112-ca-1487,Karil,BYRNE,kbyrne@uni.edu,Male,06/05/1996,Gastronomy,,Martial Arts
112-ea-4159,Merrile,KINGETT,mkingett@uni.edu,Male,12/06/1997,Business Administration,,Martial Arts
112-fa-9092,Lela,JURASEK,ljurasek@uni.edu,Male,11/08/1996,Psychology,,Volleyball
112-ee-5593,Letitia,TURRI,lturri@uni.edu,Female,06/10/1998,Computer Science,,Volleyball
112-de-4139,Nikkie,DERICUT,ndericut@uni.edu,Male,10/08/1996,Gastronomy,,Martial Arts
112-bc-5234,Gavrielle,GOODSPEED,ggoodspeed@uni.edu,Male,27/12/1998,Mathematics,Pi Gamma Rho,Basketball
111-ec-8296,Jobey,QUINET,jquinet@uni.edu,Male,17/07/1997,Engineering,Tau Picore,
112-af-5780,Janeva,BRAUNFELD,jbraunfeld@uni.edu,Female,17/08/1997,Litterature & Linguistics,Tau Picore,Hockey
111-dc-2484,Ainslie,MCLAUGHLAN,amclaughlan@uni.edu,Female,08/01/1997,Mathematics,Kappa Xi,Basketball
111-cf-1789,Ariadne,KASSEL,akassel@uni.edu,Female,25/01/1998,History,,Gymnastics
112-ad-5106,Mollee,SORTON,msorton@uni.edu,Female,27/05/1997,Art & Culture,Beta Mu,Tennis
111-ae-5280,Christa,KEDWARD,ckedward@uni.edu,Female,18/09/1996,Physics,Tau Picore,Swimming
112-da-2808,Skipton,COARE,scoare@uni.edu,Female,20/06/1998,Chemistry,,
111-cb-5303,Merell,HAMMONDS,mhammonds@uni.edu,Male,04/08/1997,Biotechnology,,Martial Arts
112-bc-2187,Dalis,IMORT,dimort@uni.edu,Female,25/12/1997,Art & Culture,Kappa Xi,Volleyball
112-ef-3760,Fredericka,RUNNETT,frunnett@uni.edu,Male,24/08/1996,Medicine,Pi Gamma Rho,Volleyball
112-dd-4064,Grata,GRIGORI,ggrigori@uni.edu,Male,12/12/1998,Mathematics,Zeta Omega,Tennis
111-fb-7525,Eydie,ANDREINI,eandreini@uni.edu,Female,12/02/1998,Tourism & Catering,Tau Picore,Gymnastics
111-ff-5921,Kai,GILLIBRAND,kgillibrand@uni.edu,Female,21/07/1996,Medicine,Kappa Xi,Martial Arts
111-dd-5327,Dodi,YURYICHEV,dyuryichev@uni.edu,Male,29/05/1996,Art & Culture,,
112-ab-6478,My,GOZARD,mgozard@uni.edu,Female,27/09/1997,Psychology,Kappa Xi,Gymnastics
111-ae-2982,Sidoney,HAGGERTY,shaggerty@uni.edu,Male,16/07/1997,Tourism & Catering,Pi Gamma Rho,Hockey
111-cc-2901,Birk,LANGCASTLE,blangcastle@uni.edu,Male,03/02/1996,Law,Nu Psi Lambda,Basketball
112-ef-1847,Ed,RODDICK,eroddick@uni.edu,Female,14/06/1997,Art & Culture,Tau Picore,
111-bb-2043,Montgomery,SICTORNES,msictornes@uni.edu,Female,04/05/1996,IT,,
111-ef-7107,Melisande,BANKHURST,mbankhurst@uni.edu,Male,16/11/1998,Biotechnology,Pi Gamma Rho,Football
112-ce-2695,Ransell,PRANDIN,rprandin@uni.edu,Male,13/09/1996,Litterature & Linguistics,,Football
111-ad-8001,Aura,BATT,abatt@uni.edu,Female,29/10/1997,Finance,,Hockey
112-fb-5013,Shepherd,ADAMOWITZ,sadamowitz@uni.edu,Male,22/05/1996,Mathematics,,Martial Arts
111-bd-5911,Gretna,CORNILS,gcornils@uni.edu,Female,30/06/1996,Gastronomy,Kappa Xi,
112-fa-1556,Flory,OVER,fover@uni.edu,Non-binary,09/01/1997,Business Administration,Kappa Xi,
112-ee-3628,Romola,SPEKE,rspeke@uni.edu,Female,14/11/1996,Computer Science,,Volleyball
112-ad-5009,Estrellita,GRAVELL,egravell@uni.edu,Male,31/08/1998,Mathematics,,Football
111-ce-8731,Ashlin,UEBEL,auebel@uni.edu,Non-binary,24/08/1998,Chemistry,,Hockey
112-cc-8553,Angelle,WINNING,awinning@uni.edu,Male,22/10/1997,IT,,Football
112-aa-6357,Pearle,STICKLER,pstickler@uni.edu,Female,24/11/1997,History,Beta Mu,Gymnastics
111-fc-6144,Chaddy,LOYLEY,cloyley@uni.edu,Female,09/03/1997,Journalism,Beta Mu,
112-fb-4708,Gonzales,JORG,gjorg@uni.edu,Male,28/06/1997,Finance,Kappa Xi,
111-ad-4984,Horace,HOWSDEN,hhowsden@uni.edu,Female,21/05/1996,Computer Science,Kappa Xi,Tennis
111-ae-5897,Moritz,TINSEY,mtinsey@uni.edu,Male,06/07/1997,Biotechnology,,
111-df-6071,Jeffry,BRETHERTON,jbretherton@uni.edu,Female,04/08/1998,Psychology,Kappa Xi,
111-ea-9191,Katerine,BONAS,kbonas@uni.edu,Male,06/09/1998,Biotechnology,Zeta Omega,Martial Arts
112-ba-4971,Juieta,DALLEMORE,jdallemore@uni.edu,Female,24/08/1996,History,Tau Picore,Volleyball
111-ac-2978,Laurel,OSWELL,loswell@uni.edu,Genderfluid,26/01/1997,Computer Science,,Hockey
111-ee-6707,Gerta,DUCAEN,gducaen@uni.edu,Male,07/01/1997,History,Zeta Omega,
111-bd-2271,Alec,WOLFENDEN,awolfenden@uni.edu,Female,19/10/1997,Tourism & Catering,Tau Picore,
112-dd-8490,Melli,HEDDAN,mheddan@uni.edu,Female,28/12/1996,Litterature & Linguistics,Tau Picore,Hockey
111-bf-4794,Kay,WRACK,kwrack@uni.edu,Male,18/09/1996,Physics,,
112-bb-4097,Loria,DENISOT,ldenisot@uni.edu,Male,09/02/1996,Architecture,,Martial Arts
112-de-2525,Sharlene,LEIF,sleif@uni.edu,Male,06/08/1997,Physics,,Tennis
112-ae-1324,Gigi,GLASSCOO,gglasscoo@uni.edu,Female,05/12/1998,Gastronomy,,
111-cc-5128,Arleyne,DANILOWICZ,adanilowicz@uni.edu,Male,21/03/1997,Biotechnology,,
111-ee-2369,Tomlin,HALSON,thalson@uni.edu,Female,17/01/1997,Tourism & Catering,,Hockey
111-cb-6430,Sonia,TARBORN,starborn@uni.edu,Female,22/03/1996,Journalism,,Tennis
112-ca-7720,Brennen,FEETHAM,bfeetham@uni.edu,Female,31/03/1997,Finance,,Volleyball
111-fd-7718,Min,PALPHRAMAND,mpalphramand@uni.edu,Genderfluid,20/05/1996,Gastronomy,Delta Magnus,
112-be-2092,Anselma,MOODIE,amoodie@uni.edu,Female,05/09/1996,Biotechnology,,Tennis
111-ff-1840,Orv,BRIDEWELL,obridewell@uni.edu,Male,28/11/1996,Mathematics,,
112-fb-5757,Doe,MCELMURRAY,dmcelmurray@uni.edu,Male,13/08/1998,History,,Swimming
111-bb-9128,Chicky,DAUD,cdaud@uni.edu,Female,02/10/1998,History,Tau Picore,Basketball
112-ff-9121,Guthrie,BISIKER,gbisiker@uni.edu,Male,16/06/1997,Computer Science,,Basketball
112-ab-4238,Brnaba,WOODSFORD,bwoodsford@uni.edu,Female,21/06/1997,Medicine,,
111-be-8779,Trumaine,RUSSI,trussi@uni.edu,Male,30/12/1997,Medicine,Kappa Xi,Martial Arts
111-ee-1386,Ruperta,CHERRETT,rcherrett@uni.edu,Female,27/04/1998,Mathematics,,Swimming
112-ec-8381,Eliot,SLOPIER,eslopier@uni.edu,Male,12/08/1996,Tourism & Catering,,Gymnastics
112-cd-5620,Eveleen,KHOMIN,ekhomin@uni.edu,Female,18/05/1996,Tourism & Catering,Kappa Xi,Martial Arts
111-bd-4054,Bernita,BONNER,bbonner@uni.edu,Genderqueer,03/08/1998,Biotechnology,Zeta Omega,
111-dd-2847,Averil,TRAPPE,atrappe@uni.edu,Agender,24/09/1997,Finance,,Swimming
111-cd-4605,Brodie,WILBORE,bwilbore@uni.edu,Female,15/07/1998,Medicine,,
111-be-6461,Ingrim,GOODALL,igoodall@uni.edu,Bigender,25/08/1997,Finance,Delta Magnus,Volleyball
111-fb-7053,Emmeline,RAWLINS,erawlins@uni.edu,Male,27/07/1997,Architecture,,Martial Arts
111-af-5599,Chadd,JAKEMAN,cjakeman@uni.edu,Female,25/01/1996,Art & Culture,,Swimming
112-af-9886,Harrie,CORDELET,hcordelet@uni.edu,Bigender,21/06/1998,Finance,Kappa Xi,Basketball
112-aa-4988,Udall,DUNN,udunn@uni.edu,Female,22/11/1998,Art & Culture,,Gymnastics
111-ea-2863,Alverta,PARADE,aparade@uni.edu,Female,03/03/1996,Art & Culture,,Tennis
111-bd-6880,Aurora,LINDEN,alinden@uni.edu,Female,16/05/1997,Computer Science,,Gymnastics
112-ba-2858,Wyndham,TREVETT,wtrevett@uni.edu,Female,13/11/1996,Computer Science,Tau Picore,Basketball
112-fe-6594,Lavena,MACALISTER,lmacalister@uni.edu,Male,22/03/1996,Biotechnology,,Hockey
111-ef-7541,Charisse,THURLBOURNE,cthurlbourne@uni.edu,Male,04/05/1997,Chemistry,,Volleyball
112-cb-1730,Dacey,TARBARD,dtarbard@uni.edu,Female,20/05/1997,Biotechnology,Beta Mu,
112-dc-7566,Wrennie,TANTON,wtanton@uni.edu,Male,21/07/1996,Medicine,Tau Picore,Gymnastics
112-ef-2257,Ada,FRIZELL,afrizell@uni.edu,Male,28/04/1998,Physics,Kappa Xi,Volleyball
111-cb-8457,Radcliffe,NOKE,rnoke@uni.edu,Male,14/12/1997,Tourism & Catering,Beta Mu,Volleyball
112-dd-1695,Lotty,CLOWNEY,lclowney@uni.edu,Female,22/05/1998,Gastronomy,Kappa Xi,Volleyball
111-fe-3542,Nikolai,TARR,ntarr@uni.edu,Non-binary,20/11/1998,Art & Culture,Pi Gamma Rho,Basketball
111-cc-7509,Odele,KNOWLSON,oknowlson@uni.edu,Genderqueer,26/09/1997,Architecture,Zeta Omega,
111-ba-3347,Roxie,HOLBORN,rholborn@uni.edu,Male,21/08/1997,Medicine,,Football
111-ae-3642,Shelton,OBEE,sobee@uni.edu,Female,24/09/1997,Art & Culture,,Tennis
112-ff-3797,Jonah,BIASIO,jbiasio@uni.edu,Male,31/10/1996,Computer Science,,
111-be-5994,Lishe,REUVEN,lreuven@uni.edu,Male,18/10/1996,History,,Tennis
112-bb-5640,Sibyl,M'CHIRRIE,smchirrie@uni.edu,Non-binary,21/02/1997,Gastronomy,,Tennis
112-dc-9020,Myrlene,JEFFRAY,mjeffray@uni.edu,Male,14/01/1996,IT,,Basketball
111-ba-6709,Jacob,BULFORD,jbulford@uni.edu,Genderqueer,28/07/1998,Biotechnology,Delta Magnus,Gymnastics
112-cf-8620,Burlie,ROWES,browes@uni.edu,Female,19/09/1998,Art & Culture,Beta Mu,
112-cf-2143,Ware,ARNE,warne@uni.edu,Genderfluid,11/06/1997,Art & Culture,Delta Magnus,Football
112-fc-9349,Noelle,SCRAGG,nscragg@uni.edu,Female,27/06/1998,Finance,,Martial Arts
112-ac-2128,Abram,MIZZI,amizzi@uni.edu,Female,29/10/1996,Journalism,,Tennis
112-bd-2922,Silvano,LOUGH,slough@uni.edu,Genderfluid,26/10/1996,Computer Science,,Swimming
111-cc-6816,Kimmy,FAIRWEATHER,kfairweather@uni.edu,Male,13/08/1997,Law,Zeta Omega,
112-ce-6609,Saxe,EAKLEY,seakley@uni.edu,Genderqueer,04/12/1998,History,,Swimming
112-fd-9532,Suellen,BAYLEY,sbayley@uni.edu,Male,25/06/1996,IT,,Basketball
112-bf-6843,Rubia,BATTISTA,rbattista@uni.edu,Male,29/05/1997,Engineering,,
111-ef-4835,Brand,SHILL,bshill@uni.edu,Male,13/06/1997,Chemistry,Tau Picore,Basketball
112-ab-3614,Harp,MATTSCHAS,hmattschas@uni.edu,Female,20/03/1997,Art & Culture,,
111-df-8741,Cobb,MCALLAN,cmcallan@uni.edu,Female,04/03/1997,History,Beta Mu,Hockey
112-bb-2796,Maxy,BALLANTINE,mballantine@uni.edu,Male,16/12/1996,Journalism,Nu Psi Lambda,
111-de-4920,Devlen,LABROW,dlabrow@uni.edu,Male,09/02/1996,Gastronomy,,
112-cd-3479,Stavro,PRAYER,sprayer@uni.edu,Male,21/05/1997,Art & Culture,Delta Magnus,Gymnastics
111-ff-5993,Raddie,RATRAY,rratray@uni.edu,Female,01/08/1998,Tourism & Catering,Kappa Xi,Volleyball
112-ec-1636,Lettie,HANNY,lhanny@uni.edu,Male,13/11/1998,Finance,,
112-ec-5289,Rolf,STUDART,rstudart@uni.edu,Male,23/12/1997,Computer Science,Zeta Omega,Volleyball
112-dd-1165,Keenan,GLAVIS,kglavis@uni.edu,Female,15/11/1998,Art & Culture,,Volleyball
111-bc-9954,Wallis,ENRRICO,wenrrico@uni.edu,Female,20/03/1997,Medicine,,Tennis
111-dc-2996,Brittaney,HOUGHT,bhought@uni.edu,Male,16/02/1996,Psychology,,
111-dc-1928,Meghann,BRAIDFORD,mbraidford@uni.edu,Male,22/09/1998,Biotechnology,Pi Gamma Rho,
111-af-7399,Chicky,BERTOMIER,cbertomier@uni.edu,Non-binary,19/06/1998,Mathematics,Kappa Xi,Tennis
111-fe-2585,Zeke,MALIA,zmalia@uni.edu,Female,06/06/1998,Finance,,
112-cc-6247,Morten,EPELETT,mepelett@uni.edu,Female,12/12/1996,Chemistry,,Swimming
111-fb-7387,Bibbie,MATHET,bmathet@uni.edu,Male,30/04/1996,Engineering,,Swimming
111-ef-9880,Godiva,THOWLESS,gthowless@uni.edu,Female,21/12/1997,History,,Volleyball
111-df-8711,Pieter,WATTINGHAM,pwattingham@uni.edu,Female,22/05/1998,Architecture,Tau Picore,Volleyball
112-fb-6152,Roth,ILLEM,rillem@uni.edu,Male,04/09/1997,Mathematics,Nu Psi Lambda,Football
112-ef-3675,Dora,WOOLMER,dwoolmer@uni.edu,Female,21/06/1997,Chemistry,,Tennis
112-bc-1934,Thatcher,HUCKNALL,thucknall@uni.edu,Female,27/04/1998,Gastronomy,,
112-fa-3031,Elyse,JURA,ejura@uni.edu,Male,01/10/1996,Law,,
111-fd-5088,Felizio,ALDCORNE,faldcorne@uni.edu,Female,10/01/1998,Mathematics,,Basketball
111-dd-7227,Stormy,SLY,ssly@uni.edu,Female,29/12/1998,Tourism & Catering,,
112-bd-8146,Barbey,ROYCROFT,broycroft@uni.edu,Male,01/11/1998,Engineering,,Basketball
112-cb-5260,Patin,MCCOLGAN,pmccolgan@uni.edu,Male,19/02/1996,IT,,Swimming
111-ef-3399,Pammie,DOHR,pdohr@uni.edu,Genderfluid,11/02/1997,Business Administration,Pi Gamma Rho,Gymnastics
112-cf-9623,Tomkin,SAWTER,tsawter@uni.edu,Female,15/05/1996,Psychology,,
111-ab-6839,Wilhelmine,CESTARD,wcestard@uni.edu,Male,02/10/1998,Mathematics,Nu Psi Lambda,
112-ca-3232,Murdock,BRUNROTH,mbrunroth@uni.edu,Genderqueer,08/05/1996,IT,,Hockey
112-ef-4547,Mata,SENETT,msenett@uni.edu,Male,15/03/1998,Architecture,Zeta Omega,Tennis
111-da-7473,Jeniece,SHARD,jshard@uni.edu,Male,22/03/1998,Art & Culture,,Basketball
111-ac-4306,Ramsey,MCINTEE,rmcintee@uni.edu,Male,27/04/1997,Engineering,,
111-dc-4153,Robbert,ENGEL,rengel@uni.edu,Female,13/02/1998,Tourism & Catering,,Hockey
111-dc-8583,Ekaterina,COMMINS,ecommins@uni.edu,Male,22/11/1996,Art & Culture,,Gymnastics
111-ce-8445,Margo,MIDDLEBROOK,mmiddlebrook@uni.edu,Female,07/03/1996,Medicine,,
112-ff-7901,Philis,ORWIN,porwin@uni.edu,Female,29/01/1997,Finance,,
112-dc-2590,Chad,FERRIS,cferris@uni.edu,Male,05/12/1996,Litterature & Linguistics,,
112-dd-9335,Devan,BAUKHAM,dbaukham@uni.edu,Female,29/03/1996,History,,Basketball
112-aa-7727,Anetta,BRELSFORD,abrelsford@uni.edu,Bigender,08/04/1997,Journalism,Kappa Xi,
112-fb-3006,Lurette,BRUMHEAD,lbrumhead@uni.edu,Male,30/11/1998,IT,Pi Gamma Rho,Tennis
112-cf-5561,Chrissy,STEGGLES,csteggles@uni.edu,Female,03/09/1996,Biotechnology,,Martial Arts
111-da-3317,Vaclav,JOWETT,vjowett@uni.edu,Male,01/11/1998,Psychology,Nu Psi Lambda,Basketball
111-da-4614,Kamillah,SIMONY,ksimony@uni.edu,Female,12/02/1996,Tourism & Catering,Kappa Xi,Martial Arts
112-dc-8609,Crystal,ITZKOV,citzkov@uni.edu,Female,27/09/1997,Medicine,Beta Mu,
111-cb-6944,Dorthea,PICKERING,dpickering@uni.edu,Female,03/07/1998,Art & Culture,Kappa Xi,
111-af-5223,Staffard,KEEPING,skeeping@uni.edu,Male,02/03/1996,Art & Culture,,Basketball
111-cc-6561,Henderson,GAHAGAN,hgahagan@uni.edu,Female,23/05/1997,Art & Culture,,
112-bc-3672,Jessee,KINSON,jkinson@uni.edu,Female,13/02/1998,Finance,,
111-cd-5861,Dew,FURTADO,dfurtado@uni.edu,Female,13/02/1998,History,Tau Picore,Martial Arts
112-de-3555,Myrwyn,PETYAKOV,mpetyakov@uni.edu,Female,08/03/1996,Computer Science,Tau Picore,Volleyball
112-ec-9537,Adoree,GENERY,agenery@uni.edu,Female,03/03/1998,Art & Culture,,
111-ee-2421,Louisa,STARFORD,lstarford@uni.edu,Female,15/05/1996,Engineering,Tau Picore,Gymnastics
112-bf-6260,Panchito,WEAR,pwear@uni.edu,Female,16/08/1997,Medicine,,Gymnastics
112-ab-6350,Gwyneth,RABJOHNS,grabjohns@uni.edu,Male,13/05/1998,Computer Science,,Gymnastics
112-df-6447,Jelene,DUDDLE,jduddle@uni.edu,Male,03/03/1996,Journalism,Beta Mu,Tennis
112-aa-8243,Ailbert,MACANE,amacane@uni.edu,Female,28/03/1997,History,,
112-ab-8862,Lenard,DREWET,ldrewet@uni.edu,Male,13/11/1997,Architecture,Nu Psi Lambda,Volleyball
111-ca-8090,Nannie,STEPTO,nstepto@uni.edu,Female,31/07/1997,Finance,,Volleyball
112-ea-1921,Mariam,FORRINGTON,mforrington@uni.edu,Female,13/12/1996,Gastronomy,Kappa Xi,Basketball
112-cf-4866,Cassandra,MULLER,cmuller@uni.edu,Genderfluid,23/08/1998,Biotechnology,,Hockey
112-aa-3423,Thelma,SKOTCHER,tskotcher@uni.edu,Male,08/03/1996,Medicine,,Basketball
112-ad-8799,Walker,DONAGHIE,wdonaghie@uni.edu,Female,30/01/1998,Psychology,,
111-aa-2017,Anastassia,MAGINN,amaginn@uni.edu,Female,02/03/1997,Litterature & Linguistics,,
111-ac-8574,Karola,RATHBOURNE,krathbourne@uni.edu,Female,15/04/1997,Law,,Hockey
112-bd-1459,Dalis,BOSNELL,dbosnell@uni.edu,Female,20/12/1998,Medicine,,Gymnastics
111-fc-9823,Judie,SEATTER,jseatter@uni.edu,Male,28/12/1998,Gastronomy,Pi Gamma Rho,Gymnastics
111-ad-8749,Kellen,NATON,knaton@uni.edu,Male,26/06/1996,History,Zeta Omega,
112-fe-2489,Hinze,FROSCH,hfrosch@uni.edu,Male,07/03/1997,Business Administration,,Basketball
111-db-3206,Jolyn,GORTHY,jgorthy@uni.edu,Female,04/01/1998,History,,
111-ff-7006,Erroll,BOYDELL,eboydell@uni.edu,Female,16/02/1998,Biotechnology,,Hockey
111-be-5797,Briny,ELGOOD,belgood@uni.edu,Female,18/11/1996,Finance,,Hockey
111-fe-6206,Edith,DEESON,edeeson@uni.edu,Female,12/01/1996,Journalism,,
111-dc-6515,Eziechiele,DACHS,edachs@uni.edu,Polygender,10/11/1998,Business Administration,,Tennis
111-bc-6288,Ivy,FINNIS,ifinnis@uni.edu,Male,29/06/1996,Psychology,,
111-bd-7236,Jerrylee,TREHARNE,jtreharne@uni.edu,Male,01/12/1998,Biotechnology,,Martial Arts
112-ea-6991,Alfie,MULLINDER,amullinder@uni.edu,Female,05/02/1997,IT,Tau Picore,
111-bd-2969,Alexandrina,SAVINE,asavine@uni.edu,Male,12/04/1997,Tourism & Catering,Nu Psi Lambda,
112-cb-3207,Thor,BARTOLOMA,tbartoloma@uni.edu,Male,20/10/1998,Physics,,Gymnastics
112-ec-3277,Roslyn,SEAKING,rseaking@uni.edu,Male,07/09/1997,History,,Tennis
112-fe-3318,Clark,DUERDIN,cduerdin@uni.edu,Polygender,13/07/1996,Litterature & Linguistics,Pi Gamma Rho,Tennis
111-fa-5081,Gustaf,ZANRE,gzanre@uni.edu,Agender,03/06/1997,Mathematics,,Gymnastics
111-ef-2119,Brenna,MCVANE,bmcvane@uni.edu,Non-binary,26/02/1997,Law,Pi Gamma Rho,Gymnastics
111-ed-6104,Minda,GOPSILL,mgopsill@uni.edu,Female,10/11/1996,History,,Tennis
111-fd-4632,Gilemette,GILHOOLEY,ggilhooley@uni.edu,Female,04/03/1996,History,,Gymnastics
111-dc-9693,Bartholemy,GALBRETH,bgalbreth@uni.edu,Male,16/06/1996,Physics,,Hockey
111-ff-7062,Alex,AVERIES,aaveries@uni.edu,Male,23/09/1996,Biotechnology,,
112-ce-8261,Larine,RIVE,lrive@uni.edu,Female,11/12/1997,Biotechnology,,
111-df-3127,Sax,MACCAHEY,smaccahey@uni.edu,Female,24/05/1996,Business Administration,Beta Mu,
112-fb-6063,Ester,CORNBELL,ecornbell@uni.edu,Male,25/07/1997,IT,,
